timestamp_s,left_knee_ohms,left_angle_deg,right_knee_ohms,right_angle_deg
55.247,11.01,0.0,15.39,22.114437135053777
55.257,11.01,0.0,15.39,22.114437135053777
55.267,10.99,0.0,15.39,22.114437135053777
55.277,11.06,0.0,15.39,22.114437135053777
55.287,11.06,0.0,15.39,22.114437135053777
55.297,11.06,0.0,15.39,22.114437135053777
55.307,11.04,0.0,15.39,22.114437135053777
55.308,11.04499999999999,0.0,15.39,22.114437135053777
55.317,11.09,2.9688779202788282,15.426000000000007,24.870695299266117
55.318,11.091484716157202,3.130321297556293,15.43,25.175677737553542
55.328,11.106331877729264,4.737145485664769,15.35,19.02782715562944
55.338,11.12117903930131,6.330134065286984,15.39,22.114437135053777
55.348,11.13602620087336,7.909287036425667,15.35,19.02782715562944
55.358,11.15087336244541,9.474604399080818,15.33,17.47500864957101
55.368,11.16572052401747,11.026086153251526,15.29,14.350344604760721
55.378,11.18056768558952,12.563732298937794,15.33,17.47500864957101
55.546,11.43,36.32748736593294,15.271565217391304,12.901741820701773
55.556,11.38,31.87684932442062,15.26808695652174,12.62781627953882
55.566,11.34,28.203363488086325,15.264608695652171,12.353698909438663
55.576,11.39,32.77952975529297,15.261130434782608,12.079389710401756
55.586,11.38,31.87684932442062,15.257652173913042,11.804888682427645
55.596,11.36,30.05265922882336,15.25417391304348,11.53019582551724
55.606,11.34,28.203363488086325,15.250695652173912,11.25531113966872
55.608,11.33000000000002,27.26930100079244,15.25,11.20031118302677
55.616,11.29,23.47028693876109,15.25,11.20031118302677
55.618,11.293236994219656,23.781456118834285,15.25,11.20031118302677
55.628,11.309421965317918,25.32743725970431,15.27,12.778499066009772
55.638,11.32560693641618,26.856977134755653,15.23,9.615780955813534
55.648,11.341791907514455,28.37007574398831,15.25,11.20031118302677
55.658,11.357976878612718,29.866733087399552,15.25,11.20031118302677
55.668,11.37416184971098,31.3469491649912,15.27,12.778499066009772
55.678,11.390346820809244,32.81072397676235,15.25,11.20031118302677
55.789,11.57,47.954511181299495,15.197455621301774,7.023846414829222
55.799,11.62,51.808890150762636,15.192721893491123,6.645438756785097
55.809,11.62,51.808890150762636,15.187988165680474,6.266675797779499
55.819,11.68,56.227023341723,15.183254437869822,5.887557537812427
55.829,11.66,54.77941792320871,15.178520710059171,5.508083976882972
55.839,11.7,57.64952311509933,15.173786982248522,5.128255114992044
55.847,11.708000000000006,58.21149344381047,15.17,4.8241362087869675
55.849,11.71,58.35135838485894,15.17,4.8241362087869675
55.857,11.71,58.35135838485894,15.17,4.8241362087869675
55.859,11.71,58.35135838485894,15.17,4.8241362087869675
55.867,11.696586826347314,57.40853783264083,15.17,4.8241362087869675
55.877,11.679820359281438,56.214132635023816,15.19,6.427693468693178
55.887,11.663053892215572,55.00208354036204,15.17,4.8241362087869675
55.897,11.646287425149708,53.772390548653675,15.19,6.427693468693178
55.907,11.629520958083845,52.52505365989964,15.21,8.0249083843687
55.917,11.612754491017968,51.260072874098114,15.21,8.0249083843687
56.026,11.43,36.32748736593294,15.269931271477663,12.77308660000108
56.036,11.43,36.32748736593294,15.275429553264605,13.205847206453655
56.046,11.39,32.77952975529297,15.280927835051546,13.638128472757217
56.056,11.38,31.87684932442062,15.286426116838486,14.069930398913584
56.066,11.39,32.77952975529297,15.291924398625431,14.501252984921848
56.076,11.36,30.05265922882336,15.297422680412373,14.932096230781553
56.086,11.32,26.328962102209516,15.302920962199313,15.36246013649361
56.096,11.32,26.328962102209516,15.308419243986252,15.792344702057562
56.208,11.483742690058476,40.93630471243796,15.37,20.574303317456724
56.218,11.49836257309942,42.15869862692762,15.43,25.175677737553542
56.228,11.512982456140351,43.36767727841834,15.37,20.574303317456724
56.238,11.527602339181284,44.56324066691286,15.37,20.574303317456724
56.248,11.542222222222216,45.74538879241027,15.33,17.47500864957101
56.258,11.556842105263158,46.91412165491147,15.31,15.915847799281437
56.267,11.57,47.954511181299495,15.31,15.915847799281437
56.268,11.576999999999986,48.50357023600645,15.31,15.915847799281437
56.277,11.64,53.30670685955556,15.291999999999994,14.507180329702805
56.278,11.643999999999991,53.6032575238969,15.29,14.350344604760721
56.287,11.68,56.227023341723,15.28842105263158,14.226482126682185
56.297,11.64,53.30670685955556,15.286666666666669,14.08881078887407
56.307,11.68,56.227023341723,15.284912280701754,13.951090648786248
56.317,11.71,58.35135838485894,15.283157894736842,13.81332170641872
56.327,11.7,57.64952311509933,15.281403508771929,13.675503961772392
56.337,11.77,62.43056536644417,15.279649122807015,13.537637414846358
56.506,12.29169565217391,88.37552167100694,15.25,11.20031118302677
56.516,12.322565217391295,89.37542839001617,15.25,11.20031118302677
56.526,12.353434782608703,90.31552529941109,15.23,9.615780955813534
56.536,12.38430434782609,91.19581239918989,15.25,11.20031118302677
56.546,12.415173913043477,92.01628968935438,15.27,12.778499066009772
56.556,12.446043478260862,92.77695716990274,15.23,9.615780955813534
56.566,12.476913043478268,93.47781484083771,15.23,9.615780955813534
56.567,12.48,93.54461106840245,15.23,9.615780955813534
56.576,12.579000000000024,95.36962814581966,15.23,9.615780955813534
56.577,12.59,95.53443553281522,15.232807017543854,9.838553773011427
56.587,12.61,95.81462845237093,15.260877192982464,12.05941058406006
56.597,12.66,96.40527355377708,15.288947368421056,14.267774011580514
56.607,12.61,95.81462845237093,15.317017543859649,16.46364405557415
56.617,12.61,95.81462845237093,15.345087719298238,18.64702071604097
